QCAT,QCMAT,GRIT1,SDSAST,AMAT1,IGT,ENDAT,IRRAT,NKB,TCB,BAT,MCAT,IRITD3,IRITD5,KT1,KT2,KT1.1,KT2.1
,214830_at,213831_at,,,212592_at,223315_at,,,,227646_at,,1556701_at,1559936_at,205117_at,237254_at,204720_s_at,231424_at
,204924_at,212671_s_at,,,221651_x_at,205726_at,,,,232204_at,,1556727_at,1560108_at,228413_s_at,218653_at,204721_s_at,231634_at
,230966_at,215536_at,,,216207_x_at,206211_at,,,,222519_s_at,,1556806_at,1560109_s_at,222546_s_at,220733_at,204753_s_at,237799_at
,206134_at,210982_s_at,,,217480_x_at,203753_at,,,,218100_s_at,,1556919_at,1560147_at,232750_at,227506_at,204754_at,238177_at
,223553_s_at,208894_at,,,217378_x_at,206481_s_at,,,,206759_at,,1556950_s_at,1560369_at,233837_at,205972_at,204755_x_at,238215_at
,227184_at,215193_x_at,,,211645_x_at,218530_at,,,,235982_at,,1557197_a_at,1560370_x_at,224485_s_at,230705_at,204865_at,238287_at
,223343_at,204670_x_at,,,217157_x_at,209101_at,,,,232485_at,,1557394_at,1560915_at,208950_s_at,232378_at,204973_at,244477_at
,203507_at,209312_x_at,,,216517_at,215042_at,,,,1554413_s_at,,1557418_at,1560916_a_at,229777_at,237799_at,204997_at,
,223278_at,208306_x_at,,,234764_x_at,208922_s_at,,,,1554667_s_at,,1557419_a_at,1561058_at,244524_at,231352_at,205075_at,
,219952_s_at,221491_x_at,,,215379_x_at,213620_s_at,,,,220306_at,,1557799_at,1561082_at,209600_s_at,1552510_at,205117_at,
,202800_at,200905_x_at,,,209138_x_at,216061_x_at,,,,238063_at,,1557801_x_at,1561517_at,206396_at,207771_at,205221_at,
,203275_at,200904_at,,,211655_at,205975_s_at,,,,235372_at,,1557852_at,1561868_at,208358_s_at,207201_s_at,205222_at,
,225869_s_at,217456_x_at,,,216365_x_at,219480_at,,,,203146_s_at,,1557915_s_at,1562163_at,207378_at,220503_at,205302_at,
,206488_s_at,224283_x_at,,,216708_x_at,204904_at,,,,206896_s_at,,1557938_s_at,1562189_at,204257_at,1552281_at,205311_at,
,220088_at,222868_s_at,,,217138_x_at,200771_at,,,,210279_at,,1557981_at,1562677_at,202889_x_at,207184_at,205364_at,
,205872_x_at,226818_at,,,211798_x_at,227463_at,,,,205659_at,,1558034_s_at,1564473_at,206024_at,233183_at,205625_s_at,
,211434_s_at,226841_at,,,211881_x_at,208981_at,,,,1569380_a_at,,1558299_at,1565713_at,236646_at,220135_s_at,205626_s_at,
,212820_at,232610_at,,,214677_x_at,219568_x_at,,,,226878_at,,1558393_at,1565714_at,238127_at,208409_at,205682_x_at,
,219358_s_at,224701_at,,,216846_at,213418_at,,,,205671_s_at,,1558394_s_at,1566481_at,222134_at,209267_s_at,205710_at,
,33646_g_at,200923_at,,,216851_at,201279_s_at,,,,226150_at,,1558556_at,1566482_at,221246_x_at,220281_at,205719_s_at,
,223454_at,238487_at,,,216852_x_at,206702_at,,,,226384_at,,1558607_at,1566677_at,223865_at,204462_s_at,205776_at,
,204971_at,202659_at,,,216853_x_at,204651_at,,,,216401_x_at,,1558608_a_at,1566678_at,204705_x_at,222071_s_at,205848_at,
,207697_x_at,209040_s_at,,,217148_x_at,220027_s_at,,,,244261_at,,1559169_at,1568619_s_at,234071_at,238287_at,205850_s_at,
,204039_at,204279_at,,,215035_at,201695_s_at,,,,224406_s_at,,1559400_s_at,1568732_at,208084_at,238215_at,205942_s_at,
,222218_s_at,200814_at,,,216301_at,202273_at,,,,240052_at,,1559425_at,1568934_at,242982_x_at,205864_at,205969_at,
,207224_s_at,220626_at,,,216394_x_at,202112_at,,,,206478_at,,1559455_at,1569372_at,1556055_at,230084_at,205978_at,
,223484_at,200986_at,,,234350_at,201858_s_at,,,,235353_at,,1559509_at,1569602_at,208240_s_at,207095_at,206024_at,
,210785_s_at,200887_s_at,,,206660_at,204220_at,,,,212715_s_at,,1559663_at,1570001_at,234536_at,207429_at,206030_at,
,32128_at,209969_s_at,,,215816_at,206464_at,,,,228377_at,,1559928_at,1570115_at,201612_at,205243_at,206085_s_at,
,230422_at,208829_at,,,215721_at,219773_at,,,,227198_at,,1559932_at,1570355_a_at,220765_s_at,205592_at,206155_at,
,210225_x_at,1555565_s_at,,,213502_x_at,226828_s_at,,,,238071_at,,1559989_at,200606_at,204704_s_at,206603_at,206208_at,
,219386_s_at,210294_at,,,215202_at,205522_at,,,,230648_at,,1560290_at,200644_at,234197_at,,206209_s_at,
,1555745_a_at,205890_s_at,,,217022_s_at,209970_x_at,,,,236854_at,,1560636_a_at,200696_s_at,207718_x_at,,206254_at,
,204747_at,241994_at,,,211636_at,204472_at,,,,231124_x_at,,1560770_at,200799_at,231705_at,,206504_at,
,,210301_at,,,214973_x_at,202340_x_at,,,,209200_at,,1561065_at,200800_s_at,224460_s_at,,206527_at,
,,,,,211693_at,212097_at,,,,228551_at,,1562263_at,200853_at,239516_at,,206672_at,
,,,,,215118_s_at,203934_at,,,,1559413_at,,1562849_at,200974_at,219013_at,,206775_at,
,,,,,216318_at,205619_s_at,,,,213256_at,,1563560_at,201063_at,222722_at,,206840_at,
,,,,,216558_x_at,209543_s_at,,,,209583_s_at,,1563902_at,201069_at,203178_at,,206870_at,
,,,,,234477_at,222717_at,,,,228592_at,,1563903_x_at,201261_x_at,237603_at,,206952_at,
,,,,,234792_x_at,203980_at,,,,228055_at,,1564237_at,201262_s_at,205846_at,,207076_s_at,
,,,,,216706_x_at,223395_at,,,,216248_s_at,,1565668_at,201288_at,231392_at,,207102_at,
,,,,,217369_at,218736_s_at,,,,219073_s_at,,1565669_at,201311_s_at,228696_at,,207245_at,
,,,,,211649_x_at,226677_at,,,,210448_s_at,,1565713_at,201312_s_at,219744_at,,207251_at,
,,,,,217169_at,202291_s_at,,,,226223_at,,1565714_at,201438_at,209576_at,,207378_at,
,,,,,217260_x_at,235489_at,,,,221969_at,,1565776_at,201476_s_at,205221_at,,207386_at,
,,,,,240915_at,201842_s_at,,,,219737_s_at,,1565777_at,201477_s_at,204437_s_at,,207696_at,
,,,,,1555179_at,202627_s_at,,,,208690_s_at,,1565825_at,201506_at,214598_at,,207810_at,
,,,,,1561310_at,233813_at,,,,212094_at,,1565826_at,201564_s_at,215108_x_at,,207889_at,
,,,,,211146_at,213345_at,,,,202732_at,,1566134_at,201605_x_at,207889_at,,208240_s_at,
,,,,,211643_x_at,204844_at,,,,226122_at,,1566135_at,201645_at,205478_at,,208327_at,
,,,,,211644_x_at,206176_at,,,,205901_at,,1566464_at,201650_at,214203_s_at,,208369_s_at,
,,,,,214669_x_at,221073_s_at,,,,205267_at,,1566465_at,201668_x_at,240991_at,,208383_s_at,
,,,,,237625_s_at,215783_s_at,,,,226065_at,,1567107_s_at,201669_s_at,230995_at,,208429_x_at,
,,,,,221671_x_at,233660_at,,,,227224_at,,1568126_at,201670_s_at,216533_at,,209424_s_at,
